x0000,y0000
0.0142256961,-0.6168467522
0.0142647777,-0.4270583499
0.0143038593,-0.4296791333
0.0143429409,-0.5021874757
0.0143820225,-0.7494147156
0.0144211041,-0.4683356894
0.0144601856,-0.2752713078
0.0144992672,-0.3549868047
0.0145383488,-0.3857810104
0.0145774304,-0.3292157673
0.014616512,-0.3984481304
0.0146555936,-0.5757878113
0.0146946751,-0.5642126843
0.0147337567,-0.5840869589
0.0147728383,-0.6214331232
0.0148119199,-0.3757346738
0.0148510015,-0.3853442131
0.0148900830,-0.3287789701
0.0149291646,-0.2931799947
0.0149682462,-0.4392886727
0.0150073278,-0.3510556295
0.0150464094,-0.5740406223
0.015085491,-0.5764430071
0.0151245725,-0.645238573
0.0151636541,-0.8011751889
0.0152027357,-0.3313997535
0.0152418173,-0.1595200382
0.0152808989,-0.2746161119
0.0153199805,-0.3962641442
0.0153590620,-0.3991033263
0.0153981436,-0.4052184877
0.0154372252,-0.1354961898
0.0154763068,-0.2259132192
0.0155153884,-0.1905326425
0.01555447,-0.1413929526
0.0155935515,-0.211062113
0.0156326331,-0.259546607
0.0156717147,-0.0701950019
0.0157107963,-0.2239476316
0.0157498779,-0.0068594016
0.0157889595,-0.2165220785
0.0158280410,-0.4746692494
0.0158671226,-0.3899305842
0.0159062042,-0.4449670368
0.0159452858,-0.0038018209
0.0159843674,-0.3392621039
0.0160234489,-0.3735506875
0.0160625305,-0.0653902323
0.0161016121,0.0676145284
0.0161406937,-0.219142862
0.0161797753,-0.3235374032
0.0162188569,-0.2180508689
0.0162579384,-0.0009626388
0.0162970200,-0.0568726860
0.0163361016,-0.2036365598
0.0163751832,-0.2311547862
0.0164142648,-0.1119091387
0.0164533464,-0.251465858
0.0164924279,-0.1112539428
0.0165315095,0.1824922034
0.0165705911,-0.0972764310
0.0166096727,0.0774424664
0.0166487543,-0.1741527459
0.0166878359,-0.0621142529
0.0167269174,-0.1317834133
0.0167659990,-0.2783288885
0.0168050806,-0.2848808471
0.0168441622,-0.032630439
0.0168832438,-0.1164955097
0.0169223254,-0.2001421819
0.0169614069,-0.1368065816
0.0170004885,-0.1295994271
0.0170395701,0.1641467192
0.0170786517,-0.0107905768
0.0171177333,-0.0527231122
0.0171568149,-0.066700624
0.0171958964,0.0173828454
0.0172349780,0.0103940895
0.0172740596,-0.0594934695
0.0173131412,-0.0594934695
0.0173522228,0.0944775589
0.0173913043,0.0243716013
0.0174303859,-0.0525047136
0.0174694675,0.0173828454
0.0175085491,0.0313603572
0.0175476307,-0.0315384459
0.0175867123,0.0313603572
0.0176257938,0.1012479161
0.0176648754,0.1918833442
0.0177039570,-0.0391823977
0.0177430386,0.0027501377
0.0177821202,0.0656489408
0.0178212018,0.0376939172
0.0178602833,-0.2280972055
0.0178993649,-0.0739077785
0.0179384465,0.0521082262
0.0179775281,0.0518898276
0.0180166097,0.1217773866
0.0180556913,0.1005927203
0.0180947728,0.1982169042
0.0181338544,0.2536901541
0.0181729360,0.2812083804
0.0182120176,0.4482833261
0.0182510992,0.0560394014
0.0182901808,0.3216121255
0.0183292623,0.4816983152
0.0183683439,0.152134795
0.0184074255,0.1484220184
0.0184465071,0.3159337613
0.0184855887,0.3851661244
0.0185246702,0.3703150181
0.0185637518,0.3731542002
0.0186028334,0.2781507997
0.018641915,0.2215855567
0.0186809966,0.3853845230
0.0187200782,0.3742461933
0.0187591597,0.6109902993
0.0187982413,0.3478199601
0.0188373229,0.1829290007
0.0188764045,0.1720090696
0.0189154861,0.2379654533
0.0189545677,0.3458543725
0.0189936492,0.2962778853
0.0190327308,0.3797061588
0.0190718124,0.6129558869
0.019110894,0.3847293271
0.0191499756,0.4642264255
0.0191890572,0.5367347679
0.0192281387,0.3609238774
0.0192672203,0.4231674846
0.0193063019,0.3873501106
0.0193453835,0.4775487414
0.0193844651,0.4275354570
0.0194235467,0.4895606656
0.0194626282,0.6913609921
0.0195017098,0.6201630414
0.0195407914,0.6293357835
0.019579873,0.3766485781
