x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005
1745248708.603,0.82,,,1753085971.721,0.61,1756908682.648,0.65,1756962148.791,0.64,1756983129.267,0.65
1745248723.993,0.81,,,1753085987.112,0.61,1756908698.038,0.63,1756962164.191,0.64,1756983144.659,0.63
1745248739.383,0.81,,,1753086002.501,0.61,1756908713.428,0.64,1756962179.581,0.65,1756983160.049,0.64
1745248754.773,0.81,,,1753086017.891,0.61,1756908728.818,0.65,1756962194.971,0.65,1756983175.439,0.64
1745248770.163,0.82,,,1753086033.281,0.61,1756908744.208,0.61,1756962210.361,0.64,1756983190.829,0.65
1745248785.553,0.81,,,1753086048.681,0.61,1756908759.598,0.65,1756962225.751,0.64,1756983206.219,0.65
1745248800.943,0.8,,,1753086060.721,0.61,1756908774.988,0.63,1756962241.141,0.64,1756983221.609,0.64
1745248816.334,0.81,,,1753086076.112,0.61,1756908790.378,0.65,1756962256.531,0.65,1756983236.999,0.65
1745248831.723,0.81,,,1753086091.501,0.62,1756908805.768,0.65,1756962271.921,0.65,1756983252.389,0.65
1745248847.113,0.82,,,1753086106.891,0.62,1756908821.158,0.65,1756962287.311,0.64,1756983267.779,0.63
1745248862.503,0.81,,,1753086122.281,0.61,1756908836.548,0.65,1756962302.701,0.64,1756983283.17,0.65
1745248877.893,0.82,,,1753086137.671,0.62,1756908851.938,0.65,1756962318.091,0.66,1756983298.559,0.64
1745248893.283,0.81,,,1753086153.061,0.62,1756908867.328,0.64,1756962333.481,0.66,1756983313.949,0.62
1745248908.683,0.82,,,1753086168.461,0.61,1756908882.718,0.66,1756962348.871,0.67,1756983329.339,0.62
1745248924.073,0.81,,,1753086183.851,0.62,1756908898.108,0.66,1756962364.261,0.66,1756983344.729,0.62
1745248939.473,0.81,,,1753086199.241,0.62,1756908913.498,0.63,1756962379.651,0.66,1756983360.119,0.62
1745248954.863,0.81,,,1753086214.631,0.62,1756908928.897,0.63,1756962395.041,0.66,1756983375.505,0.62
1745248970.254,0.81,,,1753086230.021,0.62,1756908944.288,0.63,1756962410.431,0.65,1756983390.899,0.63
1745248985.643,0.81,,,1753086245.411,0.62,1756908971.928,0.62,1756962425.821,0.66,1756983406.289,0.63
1745249001.033,0.82,,,1753086260.801,0.62,1756908987.328,0.63,1756962441.211,0.64,1756983421.679,0.63
1745249016.423,0.81,,,1753086276.191,0.62,1756909002.718,0.62,1756962468.851,0.66,1756983449.319,0.63
1745249031.813,0.81,,,1753086291.581,0.62,1756909018.108,0.63,1756962484.241,0.67,1756983464.709,0.63
1745249047.203,0.82,,,1753086306.971,0.62,1756909033.498,0.63,1756962499.631,0.66,1756983480.099,0.63
1745249062.593,0.82,,,1753086679.896,0.57,1756909048.888,0.64,1756962515.031,0.66,1756983495.489,0.64
1745249077.983,0.82,,,1753086695.286,0.57,1756909064.278,0.64,1756962530.421,0.66,1756983510.879,0.62
1745249093.373,0.81,,,1753086710.676,0.57,1756909079.668,0.63,1756962545.82,0.66,1756983526.269,0.63
1745249108.763,0.82,,,1753086726.066,0.57,1756909095.058,0.64,1756962561.211,0.66,1756983541.659,0.63
1745249124.153,0.81,,,1753086741.456,0.57,1756909110.448,0.64,1756962576.601,0.66,1756983557.049,0.63
1745249139.543,0.81,,,1753086756.846,0.57,1756909125.838,0.64,1756962591.991,0.65,1756983572.439,0.66
1745249154.933,0.81,,,1753086772.236,0.57,1756909137.878,0.64,1756962607.381,0.65,1756983587.829,0.64
1745249182.573,0.82,,,1753086787.626,0.57,1756909153.268,0.64,1756962622.771,0.67,1756983603.227,0.63
1745249197.963,0.81,,,1753086803.016,0.57,1756909168.658,0.64,1756962634.81,0.65,1756983615.268,0.64
1745249213.353,0.81,,,1753086818.406,0.57,1756909184.048,0.64,1756962650.201,0.66,1756983630.659,0.64
1745249228.753,0.81,,,1753086833.796,0.58,1756909199.438,0.64,1756962665.601,0.66,1756983646.049,0.62
1745249244.143,0.81,,,1753086861.496,0.58,1756909214.828,0.65,1756962680.991,0.66,1756983661.439,0.64
1745249259.543,0.82,,,1753086876.886,0.58,1756909230.218,0.65,1756962696.381,0.66,1756983676.829,0.65
1745249274.933,0.82,,,1753086892.276,0.58,1756909245.608,0.65,1756962711.771,0.67,1756983692.219,0.65
1745249290.323,0.82,,,1753086907.666,0.58,1756909260.998,0.65,1756962727.161,0.67,1756983707.609,0.65
1745249305.713,0.81,,,1753086923.056,0.58,1756909276.388,0.62,1756962742.551,0.67,1756983722.999,0.65
1745249321.103,0.82,,,1753086938.446,0.58,1756909291.778,0.65,1756962757.941,0.66,1756983738.389,0.65
1745249336.493,0.82,,,1753086953.836,0.59,1756909307.168,0.62,1756962773.331,0.67,1756983753.779,0.65
1745249348.533,0.82,,,1753086969.226,0.59,1756909322.558,0.65,1756962788.721,0.67,1756983769.169,0.65
1745249363.923,0.81,,,1753086984.616,0.59,1756909337.949,0.65,1756962804.111,0.65,1756983784.569,0.65
1745249379.314,0.81,,,1753087000.006,0.59,1756909353.338,0.66,1756962819.501,0.67,1756983799.959,0.65
1745249394.703,0.81,,,1753087015.396,0.59,1756909368.728,0.66,1756962834.891,0.66,1756983815.357,0.66
1745249410.093,0.81,,,1753087027.436,0.59,1756909384.118,0.66,1756962850.281,0.67,1756983830.749,0.65
1745249425.483,0.82,,,1753087042.826,0.59,1756909399.508,0.65,1756962865.672,0.68,1756983846.139,0.66
1745249440.873,0.82,,,1753087058.216,0.6,1756909414.898,0.67,1756962881.061,0.67,1756983861.529,0.67
1745249456.263,0.82,,,1753087073.606,0.61,1756909430.298,0.65,1756962896.451,0.67,1756983876.919,0.64
1745249471.653,0.82,,,1753087088.996,0.59,1756909445.688,0.66,1756962911.841,0.66,1756983892.309,0.67
1745249487.043,0.83,,,1753087104.386,0.6,1756909461.078,0.65,1756962927.231,0.66,1756983907.699,0.62
1745249502.433,0.82,,,1753087119.776,0.6,1756909476.468,0.65,1756962942.621,0.66,1756983923.089,0.66
1745249517.823,0.82,,,1753087135.166,0.59,1756909491.858,0.67,1756962958.011,0.66,1756983938.479,0.66
1745249533.213,0.81,,,1753087150.556,0.61,1756909507.248,0.64,1756962973.401,0.66,1756983953.869,0.68
1745249548.603,0.81,,,1753087165.946,0.6,1756909522.638,0.67,1756962988.791,0.66,1756983969.259,0.67
1745249563.993,0.82,,,1753087181.336,0.6,1756909538.028,0.66,1756963004.181,0.67,1756983984.649,0.67
1745249579.383,0.82,,,1753087196.726,0.6,1756909553.418,0.65,1756963019.571,0.66,1756984000.039,0.68
1745249594.773,0.81,,,1753087212.116,0.6,1756909568.808,0.65,1756963034.961,0.66,1756984015.429,0.67
1745249610.172,0.82,,,1753087227.506,0.6,1756909584.198,0.66,1756963050.351,0.66,1756984030.819,0.66
1745249625.563,0.82,,,1753087242.896,0.6,1756909599.588,0.66,1756963065.741,0.66,1756984046.209,0.67
1745249640.955,0.81,,,1753087258.286,0.6,1756909614.978,0.66,1756963081.131,0.66,1756984061.599,0.67
1745249656.343,0.82,,,1753087273.677,0.6,1756909630.368,0.66,1756963096.521,0.66,1756984076.989,0.67
1745249671.733,0.82,,,1753087289.066,0.6,1756909645.758,0.65,1756963111.911,0.66,1756984092.379,0.67
